time,p0_ux,p0_uy,p0_uz,p1_ux,p1_uy,p1_uz,p2_ux,p2_uy,p2_uz,p3_ux,p3_uy,p3_uz,p4_ux,p4_uy,p4_uz, p5_ux,p5_uy,p5_uz, p6_ux,p6_uy,p6_uz, p7_ux,p7_uy,p7_uz
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06,0.028232587,0.00036866505,5.617486e-08,0.029067041,0.00015090949,5.4004079e-08,0.029447312,7.4282673e-05,5.0677468e-08,0.029796866,2.1126031e-05,4.2685786e-08,0.029904779,9.0391361e-06,3.7296509e-08,0.029934495,6.1515148e-06,3.5516555e-08,0.029994178,1.0373269e-06,3.1370943e-08,0.030005294,2.1655839e-07,2.8499253e-08
0.132,0.028105476,0.00041313908,2.4003315e-08,0.029013882,0.00016472019,1.887753e-08,0.029422805,7.9976286e-05,1.4651477e-08,0.029795294,2.2470031e-05,7.7560632e-09,0.029909651,9.5966348e-06,4.342855e-09,0.02994107,6.5403317e-06,3.184724e-09,0.0300041,1.1254901e-06,5.0609141e-10,0.030015767,2.4503398e-07,-2.1689648e-10
0.2184,0.027988127,0.00045834521,4.0693212e-08,0.028966419,0.00017833295,3.2131312e-08,0.029402323,8.5421462e-05,2.508801e-08,0.029796324,2.366418e-05,1.3664699e-08,0.029916681,1.0045705e-05,7.9663317e-09,0.0299497,6.8293353e-06,6.027216e-09,0.03001588,1.1585809e-06,1.4486895e-09,0.030028122,2.4604892e-07,2.9334351e-10
0.32208,0.027866561,0.0005082976,6.0321324e-08,0.028918799,0.00019306056,4.7672366e-08,0.029383066,9.1184186e-05,3.7241608e-08,0.029799441,2.4889296e-05,2.0319833e-08,0.029925985,1.0497179e-05,1.1833318e-08,0.029960649,7.1166845e-06,8.9445012e-09,0.030030057,1.1878271e-06,2.0969371e-09,0.030042888,2.4488412e-07,4.6024476e-10
0.446496,0.027733087,0.00056564633,8.4282674e-08,0.028868371,0.00020976307,6.6711378e-08,0.02936394,9.7545442e-05,5.2169409e-08,0.029804596,2.6195594e-05,2.8547653e-08,0.029937774,1.0968829e-05,1.6673216e-08,0.029974195,7.4135292e-06,1.2636168e-08,0.030047042,1.2141714e-06,3.0444619e-09,0.030060501,2.4139886e-07,7.9766364e-10
0.58459645,0.027592513,0.00062796236,1.1116149e-07,0.028816898,0.00022794735,8.8012307e-08,0.029345542,0.0001042555,6.8790833e-08,0.029811339,2.7523149e-05,3.7593601e-08,0.029951286,1.1438796e-05,2.1947431e-08,0.029989491,7.7062879e-06,1.6646987e-08,0.030065822,1.2368606e-06,4.0645731e-09,0.030079916,2.3597651e-07,1.167299e-09
0.72408755,0.027454536,0.00069182164,1.3870505e-07,0.028767163,0.00024653247,1.0984032e-07,0.029328575,0.00011089404,8.5780498e-08,0.02981876,2.8787719e-05,4.6745251e-08,0.02996517,1.1878048e-05,2.7235303e-08,0.03000507,7.9772537e-06,2.0653232e-08,0.030084696,1.2549942e-06,5.0672417e-09,0.030099388,2.293235e-07,1.5087081e-09
0.86459659,0.027317491,0.00076156661,1.667375e-07,0.028717809,0.00026574351,1.3206924e-07,0.029312213,0.00011759284,1.0304589e-07,0.029826533,3.001852e-05,5.593958e-08,0.029979242,1.2298195e-05,3.2477869e-08,0.030020785,8.2341383e-06,2.4598695e-08,0.030103593,1.2698113e-06,6.0175021e-09,0.03011886,2.216468e-07,1.8093372e-09
1.0058776,0.027179487,0.00084451106,1.9561701e-07,0.028668195,0.00028550659,1.5503222e-07,0.029296021,0.00012443896,1.2088802e-07,0.029834483,3.1232004e-05,6.5413653e-08,0.029993401,1.2705975e-05,3.7864632e-08,0.030036554,8.48157e-06,2.8652355e-08,0.030122469,1.2822744e-06,7.0065069e-09,0.030138295,2.1319049e-07,2.1407157e-09
1.1477565,0.027035944,0.00094964523,2.2516328e-07,0.028617725,0.00030568218,1.7853214e-07,0.02927965,0.0001315354,1.3911232e-07,0.029842504,3.2439632e-05,7.4998805e-08,0.030007585,1.3105265e-05,4.3266325e-08,0.030052328,8.7220355e-06,3.2704014e-08,0.030141296,1.292748e-06,7.9891687e-09,0.030157668,2.0405361e-07,2.4697935e-09
1.290113,0.026882369,0.0010821353,2.5546059e-07,0.028566194,0.0003260863,2.0264335e-07,0.029262811,0.00013896098,1.5778262e-07,0.029850493,3.3652614e-05,8.4723275e-08,0.030021738,1.3500769e-05,4.8690934e-08,0.030068061,8.9588374e-06,3.6755745e-08,0.03016005,1.3019953e-06,8.9593764e-09,0.030176961,1.9448137e-07,2.792344e-09
1.432866,0.026713276,0.0012477757,2.8654198e-07,0.028513405,0.00034687028,2.2744375e-07,0.029245157,0.00014677667,1.7699703e-07,0.029858324,3.488281e-05,9.4678959e-08,0.030035792,1.3896866e-05,5.4208596e-08,0.030083702,9.1947821e-06,4.0867744e-08,0.030178715,1.3103065e-06,9.9500583e-09,0.030196162,1.8446746e-07,3.1313766e-09
1.5759622,0.026524206,0.0014441508,3.1858153e-07,0.028459482,0.00036868005,2.5308405e-07,0.029226536,0.00015497713,1.9688462e-07,0.029865944,3.6136819e-05,1.0494445e-07,0.030049719,1.4296239e-05,5.9858883e-08,0.030099229,9.4317623e-06,4.5063362e-08,0.03019728,1.3181539e-06,1.0942046e-08,0.030215264,1.741866e-07,3.4603498e-09
1.71937,0.026311618,0.0016649845,3.5127868e-07,0.028404379,0.00039297531,2.7933142e-07,0.029206844,0.00016349232,2.1725026e-07,0.02987332,3.7418102e-05,1.1538392e-07,0.030063502,1.4699468e-05,6.5542204e-08,0.03011463,9.6699381e-06,4.9257618e-08,0.030215741,1.3253063e-06,1.1901518e-08,0.030234263,1.6349311e-07,3.7653001e-09
1.8630658,0.026072887,0.0018969055,3.8467703e-07,0.028347827,0.00042183816,3.0626178e-07,0.029186036,0.00017218529,2.3816778e-07,0.029880428,3.8730851e-05,1.2606251e-07,0.030077129,1.5108006e-05,7.1315748e-08,0.030129895,9.910318e-06,5.3504112e-08,0.030234094,1.3320332e-06,1.2863717e-08,0.030253157,1.5248432e-07,4.0699269e-09
2.0070308,0.025806738,0.0021317476,4.1871576e-07,0.02828903,0.00045822108,3.3385873e-07,0.029164103,0.00018088529,2.5961772e-07,0.029887244,4.0078561e-05,1.3695328e-07,0.030090592,1.5522539e-05,7.7151617e-08,0.030145019,1.0153202e-05,5.7775648e-08,0.030252337,1.3382628e-06,1.3810642e-08,0.030271944,1.4110851e-07,4.3613643e-09
