time,p0_ux,p0_uy,p0_uz,p1_ux,p1_uy,p1_uz,p2_ux,p2_uy,p2_uz,p3_ux,p3_uy,p3_uz
0,0,0,0,0,0,0,0,0,0,0,0,0
6e-07,0.14867037,0.00015741597,-1.3672119e-08,0.14939716,5.8558596e-05,-1.2497355e-08,0.14970095,2.589405e-05,-1.1502585e-08,0.14984595,1.2484195e-05,-1.0500097e-08
1.32e-06,0.14862288,0.00016339112,3.5449615e-09,0.14937626,6.0643029e-05,3.2587926e-09,0.1496907,2.6793247e-05,2.992762e-09,0.1498407,1.2912996e-05,2.7330547e-09
2.184e-06,0.14859249,0.0001672674,8.0197384e-10,0.14936294,6.1976641e-05,7.5982353e-10,0.14968418,2.7365471e-05,7.1228246e-10,0.14983736,1.3185113e-05,6.6129685e-10
3.2208e-06,0.14857057,0.00017009864,4.9805536e-10,0.14935338,6.2939016e-05,4.8773937e-10,0.14967951,2.777681e-05,4.7068425e-10,0.14983497,1.3380458e-05,4.5097488e-10
4.46496e-06,0.14855373,0.00017229972,2.5389806e-10,0.14934606,6.3679129e-05,2.5740479e-10,0.14967594,2.8092058e-05,2.567269e-10,0.14983314,1.3529976e-05,2.5411187e-10
5.957952e-06,0.14854025,0.00017408051,1.3154015e-10,0.14934022,6.4272038e-05,1.4053091e-10,0.14967309,2.8343828e-05,1.4569312e-10,0.14983168,1.3649249e-05,1.5006394e-10
7.7495424e-06,0.14852914,0.00017556375,6.5473718e-11,0.14933541,6.4761332e-05,7.6217122e-11,0.14967075,2.8551008e-05,8.4101251e-11,0.14983049,1.3747295e-05,9.1145163e-11
9.8994509e-06,0.14851977,0.00017682799,1.7391903e-11,0.14933137,6.517477e-05,4.0066406e-11,0.14966878,2.8725598e-05,6.0289408e-11,0.14982948,1.3829831e-05,7.8752615e-11
1.2479341e-05,0.14851171,0.00017792559,-2.4128365e-11,0.1493279,6.5530695e-05,-1.531209e-12,0.14966709,2.8875497e-05,1.9433484e-11,0.14982862,1.3900628e-05,3.8647984e-11
1.5575209e-05,0.14850468,0.00017889283,-2.756981e-12,0.14932488,6.5841793e-05,-4.6012391e-13,0.14966563,2.9006154e-05,7.8965775e-12,0.14982787,1.3962272e-05,1.4274753e-11
1.9290251e-05,0.14849846,0.00017975609,-1.6733529e-11,0.14932222,6.6117367e-05,-1.3957397e-11,0.14966433,2.9121618e-05,-5.6272865e-12,0.14982721,1.4016699e-05,1.2667588e-12
2.3748301e-05,0.14849291,0.00018053475,-2.8291779e-11,0.14931984,6.6364088e-05,-2.5034574e-11,0.14966318,2.9224727e-05,-1.6649507e-11,0.14982663,1.4065253e-05,-9.2053145e-12
