time,p0_ux,p0_uy,p0_uz,p1_ux,p1_uy,p1_uz,p2_ux,p2_uy,p2_uz,p3_ux,p3_uy,p3_uz,p4_ux,p4_uy,p4_uz, p5_ux,p5_uy,p5_uz, p6_ux,p6_uy,p6_uz, p7_ux,p7_uy,p7_uz
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06,0.028771376,0.0002429601,1.3454723e-07,0.029446307,8.1288566e-05,1.2204459e-07,0.029660691,4.2700543e-05,1.1294866e-07,0.029854012,1.5232942e-05,9.7552532e-08,0.029940785,5.7696072e-06,8.3354961e-08,0.029960076,3.9571991e-06,7.8652289e-08,0.029998162,7.5853086e-07,6.117686e-08,0.030006587,1.337365e-07,4.606534e-08
0.132,0.028674378,0.00027277749,2.522814e-08,0.02941341,8.8927043e-05,1.780151e-08,0.029645592,4.625735e-05,1.3471478e-08,0.029853764,1.6352132e-05,7.4395805e-09,0.029946794,6.1725535e-06,3.4135802e-09,0.029967437,4.2352673e-06,2.3178299e-09,0.030008087,8.1764343e-07,-2.1788172e-10,0.030016986,1.5420576e-07,-8.9898987e-10
0.2184,0.028584023,0.00030328407,4.2345934e-08,0.029384697,9.6420347e-05,3.0120533e-08,0.029633821,4.9666751e-05,2.3031177e-08,0.029855992,1.7373217e-05,1.3172898e-08,0.0299549,6.5083755e-06,6.6111338e-09,0.029976816,4.4524445e-06,4.8245415e-09,0.03001994,8.4452319e-07,6.672733e-10,0.030029376,1.5312707e-07,-5.0554513e-10
0.32208,0.028489587,0.00033746477,6.2699713e-08,0.029356199,0.00010452892,4.4727664e-08,0.029623323,5.3289493e-05,3.4292887e-08,0.029860222,1.8431389e-05,1.974133e-08,0.029965262,6.8476697e-06,1.0042362e-08,0.0299885,4.669111e-06,7.4029378e-09,0.030034185,8.6800756e-07,1.3101173e-09,0.030044177,1.5009619e-07,-3.5499854e-10
0.446496,0.028384165,0.00037786466,8.7768442e-08,0.029325631,0.00011379128,6.2846121e-08,0.029612996,5.7350756e-05,4.831176e-08,0.02986627,1.9589525e-05,2.7967372e-08,0.029978054,7.2106222e-06,1.4377863e-08,0.03000274,4.8982441e-06,1.0684269e-08,0.030051225,8.8968173e-07,2.2140786e-09,0.030061824,1.4503323e-07,-6.3076516e-11
0.58054402,0.0282728,0.00042205576,1.1534334e-07,0.029294241,0.00012369714,8.2875811e-08,0.029602933,6.1613357e-05,6.3847538e-08,0.029873248,2.0778713e-05,3.7108611e-08,0.029991974,7.5767649e-06,1.9200209e-08,0.030018142,5.1275333e-06,1.4332412e-08,0.030069484,9.0925537e-07,3.205284e-09,0.030080702,1.387284e-07,2.3920094e-10
0.71602264,0.02816202,0.00046702362,1.4372613e-07,0.029263929,0.00013369792,1.0354565e-07,0.029593756,6.5826482e-05,7.9874645e-08,0.029880736,2.1925915e-05,4.6499151e-08,0.030006167,7.9231985e-06,2.4113877e-08,0.030033761,5.3425498e-06,1.8033725e-08,0.03008784,9.2537709e-07,4.1820815e-09,0.030099648,1.3150221e-07,5.1835061e-10
0.85257546,0.028050284,0.00051276195,1.7285033e-07,0.029233848,0.00014396278,1.2477957e-07,0.029584961,7.0059332e-05,9.6316576e-08,0.029888495,2.3051724e-05,5.6093649e-08,0.030020505,8.2569817e-06,2.9117048e-08,0.030049489,5.5479741e-06,2.180421e-08,0.030106228,9.3887612e-07,5.201959e-09,0.030118608,1.2354343e-07,8.3248967e-10
0.989927,0.027936103,0.00056011958,2.0270632e-07,0.029203081,0.00015468302,1.4661284e-07,0.029576009,7.4384132e-05,1.1321947e-07,0.029896277,2.4177544e-05,6.5919319e-08,0.030034859,8.5856805e-06,3.4201437e-08,0.030065224,5.7489658e-06,2.5620297e-08,0.030124596,9.5072486e-07,6.2004427e-09,0.03013754,1.1499621e-07,1.1152717e-09
1.127912,0.027819181,0.00061128502,2.3334492e-07,0.029171252,0.00016596452,1.6909794e-07,0.029566679,7.8834499e-05,1.3062755e-07,0.029903967,2.531375e-05,7.6000449e-08,0.030049161,8.9134606e-06,3.9376249e-08,0.03008091,5.9484589e-06,2.949174e-08,0.030142913,9.6162911e-07,7.211248e-09,0.030156419,1.0609676e-07,1.4154594e-09
1.2665055,0.027698094,0.00067007324,2.650323e-07,0.029137807,0.00017793098,1.9251212e-07,0.029556686,8.3465077e-05,1.4882069e-07,0.029911456,2.6474018e-05,8.6588057e-08,0.030063369,9.2452164e-06,4.4840355e-08,0.030096516,6.1499233e-06,3.359006e-08,0.030161171,9.7240125e-07,8.2847712e-09,0.030175241,9.6989686e-08,1.7182932e-09
1.4055992,0.027571987,0.00074147245,2.9760878e-07,0.029102764,0.00019052991,2.1662903e-07,0.029546033,8.8283855e-05,1.6752963e-07,0.029918731,2.7656195e-05,9.737773e-08,0.030077466,9.5792482e-06,5.0311268e-08,0.030112026,6.3518547e-06,3.7659637e-08,0.030179354,9.8245774e-07,9.3163803e-09,0.03019399,8.7562138e-08,2.0110224e-09
1.5451497,0.027439,0.00083083767,3.311577e-07,0.029066153,0.00020362825,2.4156609e-07,0.029534719,9.3311239e-05,1.8690693e-07,0.029925795,2.8862601e-05,1.0856258e-07,0.030091449,9.9170281e-06,5.5986148e-08,0.030127438,6.5555624e-06,4.1884533e-08,0.030197457,9.9233546e-07,1.0391432e-08,0.030212662,7.7942311e-08,2.3112435e-09
1.6851171,0.027296056,0.00094407154,3.6552104e-07,0.029028032,0.00021701894,2.6717359e-07,0.029522734,9.8572041e-05,2.0680979e-07,0.029932648,3.009269e-05,1.2002101e-07,0.03010532,1.025756e-05,6.1779255e-08,0.030142749,6.7601616e-06,4.619445e-08,0.030215477,1.0016398e-06,1.1490228e-08,0.030231252,6.7968963e-08,2.6182974e-09
1.8254771,0.027139501,0.0010842596,4.004468e-07,0.028988449,0.00023046822,2.9325198e-07,0.029510018,0.00010409926,2.2704527e-07,0.029939271,3.1349158e-05,1.3157691e-07,0.030119068,1.0601438e-05,6.7542999e-08,0.030157953,6.9659935e-06,5.0457529e-08,0.030233409,1.0104924e-06,1.2551617e-08,0.030249757,5.7761454e-08,2.9110063e-09
1.9662068,0.026965248,0.0012548302,4.3612734e-07,0.028947448,0.00024379912,3.2000302e-07,0.029496459,0.00010992454,2.4782302e-07,0.029945629,3.2636407e-05,1.4342095e-07,0.030132677,1.0949913e-05,7.3422697e-08,0.030173038,7.1738771e-06,5.4798153e-08,0.03025125,1.0189822e-06,1.3624793e-08,0.030268173,4.7267744e-08,3.2043061e-09
2.1072855,0.026769538,0.0014547166,4.7271535e-07,0.028905251,0.00025694809,3.4751987e-07,0.029482009,0.00011605141,2.692059e-07,0.029951704,3.3956603e-05,1.5557451e-07,0.030146141,1.1303603e-05,7.9416887e-08,0.030187997,7.3842254e-06,5.9210809e-08,0.030268997,1.0272094e-06,1.4703525e-08,0.030286501,3.6515474e-08,3.4964079e-09
