time,p0_ux,p0_uy,p0_uz,p1_ux,p1_uy,p1_uz,p2_ux,p2_uy,p2_uz,p3_ux,p3_uy,p3_uz
0,0,0,0,0,0,0,0,0,0,0,0,0
6e-07,0.14871077,0.00015295316,-1.4676291e-08,0.14941665,5.6726856e-05,-1.2895731e-08,0.14971098,2.5039204e-05,-1.1490841e-08,0.14985125,1.2057864e-05,-1.0485926e-08
1.32e-06,0.14866317,0.00015894887,3.7993917e-09,0.14939573,5.8814586e-05,3.3880949e-09,0.14970073,2.5938686e-05,3.0220558e-09,0.149846,1.2486221e-05,2.7509489e-09
2.184e-06,0.14863284,0.00016282278,1.4924004e-09,0.14938247,6.0143984e-05,1.3292725e-09,0.14969425,2.6508227e-05,1.17655e-09,0.14984268,1.2756808e-05,1.0573867e-09
3.2208e-06,0.14861103,0.00016564531,1.0745587e-09,0.14937298,6.1100505e-05,9.7397438e-10,0.14968961,2.6916353e-05,8.7341548e-10,0.14984031,1.2950397e-05,7.9387635e-10
4.46496e-06,0.14859432,0.00016783354,6.1154344e-10,0.14936573,6.1833732e-05,5.6195926e-10,0.14968608,2.7228042e-05,5.0935405e-10,0.14983851,1.3098032e-05,4.6928905e-10
5.957952e-06,0.148581,0.00016959934,3.5838303e-10,0.14935997,6.2419321e-05,3.3463285e-10,0.14968328,2.7476153e-05,3.0750964e-10,0.14983708,1.3215404e-05,2.8740859e-10
7.7495424e-06,0.14857004,0.00017106703,2.1528849e-10,0.14935524,6.2901325e-05,2.0596155e-10,0.14968098,2.7679747e-05,1.9272421e-10,0.14983591,1.3311606e-05,1.8303719e-10
9.8994509e-06,0.14856081,0.00017231592,2.2938982e-10,0.14935128,6.3307735e-05,2.253294e-10,0.14967905,2.7850912e-05,2.1612737e-10,0.14983492,1.3392389e-05,2.1122509e-10
1.2479341e-05,0.1485529,0.00017339829,9.2316553e-11,0.14934788,6.3656719e-05,8.3731704e-11,0.1496774,2.7997435e-05,8.1414713e-11,0.14983408,1.3461462e-05,8.1066365e-11
1.5575209e-05,0.148546,0.00017435087,5.969531e-11,0.14934493,6.3961339e-05,5.4989036e-11,0.14967597,2.8124999e-05,5.513521e-11,0.14983335,1.3521543e-05,5.6496475e-11
1.9290251e-05,0.14853992,0.00017519997,3.7772251e-11,0.14934234,6.423064e-05,3.5707908e-11,0.14967471,2.8237457e-05,3.741858e-11,0.14983271,1.3574451e-05,3.9810558e-11
2.3748301e-05,0.14853449,0.00017596489,2.1041705e-11,0.14934002,6.4471331e-05,2.0879928e-11,0.1496736,2.8337688e-05,2.374986e-11,0.14983214,1.3621554e-05,2.6922355e-11
2.9097962e-05,0.14852961,0.00017666028,7.6889254e-12,0.14933795,6.4688475e-05,8.9913271e-12,0.14967259,2.8427863e-05,1.2791382e-11,0.14983163,1.3663883e-05,1.6632034e-11
3.5517554e-05,0.14852517,0.00017729745,-3.5075121e-12,0.14933607,6.4885974e-05,-1.0102399e-12,0.14967168,2.8509654e-05,3.601983e-12,0.14983117,1.3702232e-05,8.0891778e-12
