time,p0_ux,p0_uy,p0_uz,p1_ux,p1_uy,p1_uz,p2_ux,p2_uy,p2_uz,p3_ux,p3_uy,p3_uz,p4_ux,p4_uy,p4_uz, p5_ux,p5_uy,p5_uz, p6_ux,p6_uy,p6_uz, p7_ux,p7_uy,p7_uz
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06,0.0014220863,0.0021447198,-4.559362e-07,0.026058068,0.00027738669,-3.790447e-07,0.029101944,5.1463774e-05,-2.8646611e-07,0.029769617,1.2566356e-05,-2.1677757e-07,0.029935249,3.6388753e-06,-1.6321272e-07,0.02998603,9.698169e-07,-1.1124959e-07,0.02999896,3.0310586e-07,-6.9634999e-08,0.03000294,8.5314946e-08,-3.212636e-08
0.132,0.0013696428,0.0020784934,1.0670699e-07,0.026009674,0.00028191546,8.461007e-08,0.029098709,5.2130323e-05,6.4869011e-08,0.029774689,1.2714433e-05,5.0057536e-08,0.029942239,3.6842276e-06,3.84176e-08,0.02999357,9.817016e-07,2.6543283e-08,0.030006628,2.9821283e-07,1.6752456e-08,0.030010718,7.8111696e-08,7.9126015e-09
0.20886115,0.0013122837,0.00200705,-6.2940815e-09,0.025964316,0.00028640807,-7.7273607e-09,0.029097202,5.2764186e-05,-3.30332e-09,0.029781144,1.2846681e-05,-1.438092e-09,0.029950535,3.7186294e-06,-9.618897e-10,0.030002426,9.8869647e-07,-7.567425e-10,0.030015623,2.9930874e-07,-6.7757824e-10,0.030019754,7.7865316e-08,-4.6595624e-10
0.28798833,0.0012543184,0.0019344049,-9.4602073e-09,0.025924844,0.00029050736,-1.0516358e-08,0.029097367,5.3318565e-05,-4.4403274e-09,0.029788371,1.2957034e-05,-1.8021251e-09,0.029959385,3.7448297e-06,-1.116992e-09,0.030011759,9.93217e-07,-8.3830068e-10,0.030025079,2.9961978e-07,-7.2860503e-10,0.030029251,7.7638717e-08,-4.9773675e-10
0.36860385,0.0011974772,0.0018576868,-1.2296067e-08,0.025889065,0.00029436819,-1.3146682e-08,0.029098536,5.3826634e-05,-5.5126308e-09,0.029796027,1.3056034e-05,-2.1050189e-09,0.029968523,3.7675699e-06,-1.2187222e-09,0.030021339,9.9672993e-07,-8.7867968e-10,0.03003477,2.9959904e-07,-7.4545176e-10,0.030038978,7.7313029e-08,-5.1161723e-10
0.45009966,0.0011399348,0.001776645,-1.476939e-08,0.025854386,0.0002981694,-1.5670759e-08,0.029100054,5.431953e-05,-6.6103605e-09,0.029803844,1.3151015e-05,-2.4187462e-09,0.029977775,3.7889904e-06,-1.3211838e-09,0.030031017,9.9982978e-07,-9.1387147e-10,0.030044556,2.9943578e-07,-7.6088505e-10,0.030048799,7.6957344e-08,-5.2149012e-10
0.53226326,0.0010796201,0.0016915969,-1.7155378e-08,0.025819584,0.00030201647,-1.8234818e-08,0.029101666,5.4810456e-05,-7.7567866e-09,0.029811724,1.3244908e-05,-2.7357777e-09,0.029987079,3.8100102e-06,-1.4109054e-09,0.030040744,1.0027671e-06,-9.363088e-10,0.030054389,2.9918051e-07,-7.6027413e-10,0.030058668,7.6527295e-08,-5.2763681e-10
0.61505382,0.0010155339,0.0016021067,-1.9141656e-08,0.025783569,0.00030599974,-2.0613367e-08,0.029103156,5.5311854e-05,-8.907624e-09,0.029819606,1.3340477e-05,-3.0731496e-09,0.029996407,3.831361e-06,-1.5136907e-09,0.030050501,1.005753e-06,-9.6635436e-10,0.030064254,2.9893783e-07,-7.6790139e-10,0.030068568,7.612013e-08,-5.3519239e-10
0.69847441,0.00094786781,0.0015088083,-2.0804521e-08,0.025746562,0.00031010056,-2.2888663e-08,0.029104562,5.5821126e-05,-1.0088713e-08,0.029827495,1.3437147e-05,-3.4324037e-09,0.030005761,3.8528996e-06,-1.6275392e-09,0.030060288,1.0087337e-06,-1.0012794e-09,0.03007415,2.9866124e-07,-7.7736202e-10,0.0300785,7.5678247e-08,-5.442963e-10
