time,p0_ux,p0_uy,p0_uz,p1_ux,p1_uy,p1_uz,p2_ux,p2_uy,p2_uz,p3_ux,p3_uy,p3_uz,p4_ux,p4_uy,p4_uz,p5_ux,p5_uy,p5_uz,p6_ux,p6_uy,p6_uz,p7_ux,p7_uy,p7_uz
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6e-07,0.043112595,0.00011669097,-1.1210839e-06,0.044494872,2.7744569e-05,-1.0052989e-06,0.044866379,7.0180341e-06,-9.00793e-07,0.044963578,1.82614e-06,-7.7428244e-07,0.044988494,5.1358238e-07,-6.1420528e-07,0.044996458,1.0961337e-07,-4.2449292e-07,0.044998983,3.1128087e-08,-2.4527405e-07,0.044999649,1.071171e-07,-1.0820898e-07
1.32e-06,0.043102944,0.00011745412,4.2911196e-07,0.044492791,2.7984813e-05,3.7681543e-07,0.044866357,7.1226744e-06,3.2821892e-07,0.044964014,1.9236916e-06,2.7367322e-07,0.044989045,6.0507941e-07,2.1310076e-07,0.044996953,1.8390918e-07,1.4597115e-07,0.044999267,8.0300528e-08,8.8632201e-08,0.044999724,1.0635344e-07,5.2351114e-08
2.184e-06,0.043094646,0.00011793341,-7.5644306e-10,0.04449048,2.8077908e-05,-6.6335723e-10,0.044865636,7.1265763e-06,-5.7428749e-10,0.044963752,1.9019885e-06,-4.720575e-10,0.044988881,5.8180602e-07,-3.6336492e-10,0.044996838,1.6542049e-07,-2.3870505e-10,0.044999167,4.3668836e-08,-1.169663e-10,0.044999722,1.4197791e-08,1.2442361e-11
3.2208e-06,0.043088908,0.00011829658,-4.2578391e-10,0.044488953,2.8162879e-05,-3.781846e-10,0.044865235,7.1479958e-06,-3.3030172e-10,0.044963644,1.9076546e-06,-2.7915263e-10,0.044988848,5.8345616e-07,-2.1921119e-10,0.044996829,1.6570487e-07,-1.4860128e-10,0.044999164,4.325285e-08,-8.5242914e-11,0.044999721,1.2842961e-08,-2.8532448e-11
4.46496e-06,0.043085038,0.00011854417,3.1923364e-10,0.044487925,2.8220365e-05,2.6641731e-10,0.044864964,7.162484e-06,2.2369342e-10,0.044963571,1.9115198e-06,1.8064664e-10,0.044988826,5.8461789e-07,1.395638e-10,0.044996822,1.6595503e-07,9.6663745e-11,0.044999163,4.3119065e-08,5.4842799e-11,0.044999721,1.2342066e-08,2.5684994e-11
5.957952e-06,0.043082414,0.00011871463,2.1702209e-10,0.044487229,2.8259458e-05,1.7027401e-10,0.044864781,7.1722947e-06,1.3404624e-10,0.044963521,1.9141254e-06,1.0123651e-10,0.044988811,5.8540225e-07,7.5441565e-11,0.044996818,1.661597e-07,5.2605121e-11,0.044999162,4.3141295e-08,3.0994869e-11,0.044999721,1.2295918e-08,1.5139407e-11
7.7495424e-06,0.043080579,0.00011883621,1.6481577e-10,0.044486744,2.8286911e-05,1.2881898e-10,0.044864653,7.1791611e-06,1.008657e-10,0.044963487,1.9159566e-06,7.6050636e-11,0.0449888,5.8596466e-07,5.6681046e-11,0.044996815,1.6632239e-07,3.9848424e-11,0.044999162,4.3192959e-08,2.3912088e-11,0.044999721,1.2346412e-08,1.1431156e-11
9.8994509e-06,0.043079243,0.00011892693,1.3119125e-10,0.044486393,2.8307019e-05,1.0330726e-10,0.044864561,7.184166e-06,8.1366957e-11,0.044963462,1.9172939e-06,6.2039793e-11,0.044988793,5.8637911e-07,4.6661251e-11,0.044996814,1.6644819e-07,3.3635447e-11,0.044999161,4.3243892e-08,2.1341687e-11,0.044999721,1.2413808e-08,1.1495092e-11
1.2479341e-05,0.043078226,0.0001189978,1.0179442e-10,0.044486127,2.8322409e-05,8.0677083e-11,0.044864491,7.1879746e-06,6.4125347e-11,0.044963444,1.9183111e-06,4.9395886e-11,0.044988787,5.8669415e-07,3.756211e-11,0.044996812,1.6654279e-07,2.7870671e-11,0.044999161,4.3279527e-08,1.8746359e-11,0.044999721,1.2458389e-08,1.1031538e-11
