time,p0_ux,p0_uy,p0_uz,p1_ux,p1_uy,p1_uz,p2_ux,p2_uy,p2_uz,p3_ux,p3_uy,p3_uz
0,0,0,0,0,0,0,0,0,0,0,0,0
0.0006,0.0058921444,1.4170288e-05,4.8908195e-09,0.0059592607,4.0825285e-06,5.7378462e-09,0.0059800481,1.7663045e-06,6.1992484e-09,0.0059897944,8.4477242e-07,6.3234449e-09
0.00132,0.0058894223,1.4583747e-05,9.4585425e-11,0.0059583076,4.1791539e-06,6.9594269e-11,0.0059795853,1.8005444e-06,5.3701407e-11,0.0059895535,8.5722504e-07,2.8692167e-11
0.002184,0.0058876498,1.4861231e-05,2.2502296e-11,0.0059577111,4.2452272e-06,5.470443e-12,0.0059793137,1.8278198e-06,-8.3015384e-12,0.0059894282,8.6986258e-07,-1.8661825e-11
0.0032208,0.0058863552,1.5069948e-05,5.2049051e-11,0.0059572861,4.2936939e-06,1.9933936e-11,0.0059791268,1.8475921e-06,4.8562752e-12,0.0059893485,8.7900791e-07,-4.6161338e-12
0.00446496,0.0058853513,1.5236955e-05,8.6317048e-11,0.005956967,4.3316027e-06,3.996036e-11,0.0059789939,1.8628668e-06,1.7829316e-11,0.0059892992,8.8604279e-07,5.2972643e-12
0.005957952,0.005884543,1.5376137e-05,1.234839e-10,0.0059567207,4.362568e-06,6.1244203e-11,0.0059788996,1.8752306e-06,3.1213871e-11,0.0059892732,8.916988e-07,1.3947394e-11
0.0077495424,0.005883875,1.5495692e-05,1.6580961e-10,0.0059565289,4.3886786e-06,8.482298e-11,0.0059788358,1.885575e-06,4.544095e-11,0.0059892669,8.9639785e-07,2.2607975e-11
0.0098994508,0.0058833126,1.5600927e-05,2.024004e-10,0.0059563802,4.4112664e-06,1.0096505e-10,0.0059787981,1.8944487e-06,5.209507e-11,0.005989279,9.0039535e-07,2.4173862e-11
0.012479341,0.0058828325,1.5695566e-05,2.6298081e-10,0.0059562681,4.4312531e-06,1.3450542e-10,0.0059787845,1.9022271e-06,7.2086403e-11,0.0059893094,9.0386362e-07,3.6079256e-11
0.015575209,0.0058824185,1.5782378e-05,3.3430739e-10,0.0059561883,4.4493129e-06,1.7357882e-10,0.0059787941,1.9091808e-06,9.5064457e-11,0.0059893592,9.0692486e-07,4.9501992e-11
0.019290251,0.0058820589,1.5863534e-05,4.1883715e-10,0.0059561389,4.4659639e-06,2.1953203e-10,0.0059788277,1.9155145e-06,1.2182934e-10,0.00598943,9.0966966e-07,6.4917523e-11
0.023748301,0.0058817456,1.59408e-05,5.1953532e-10,0.0059561193,4.4816196e-06,2.7401621e-10,0.0059788868,1.9213883e-06,1.5337401e-10,0.0059895244,9.1216698e-07,8.2922905e-11
0.029097961,0.0058814727,1.6015682e-05,6.3974069e-10,0.0059561303,4.4966178e-06,3.3891047e-10,0.0059789741,1.9269254e-06,1.9080457e-10,0.0059896461,9.1446512e-07,1.0416038e-10
0.035517554,0.0058812361,1.6089562e-05,7.868577e-10,0.0059561738,4.5112672e-06,4.1901094e-10,0.0059790933,1.9322386e-06,2.3751176e-10,0.0059897992,9.1660776e-07,1.3116736e-10
0.043221064,0.0058810334,1.6163765e-05,9.5865579e-10,0.005956253,4.5258637e-06,5.1134613e-10,0.005979249,1.9374361e-06,2.9044769e-10,0.0059899895,9.1863825e-07,1.6093777e-10
0.052465277,0.0058808631,1.6239635e-05,1.1645602e-09,0.0059563722,4.5407017e-06,6.2197381e-10,0.0059794473,1.9426222e-06,3.5383154e-10,0.0059902234,9.2059513e-07,1.965452e-10
0.063558332,0.0058807247,1.6318529e-05,1.4130911e-09,0.005956537,4.5560456e-06,7.5578865e-10,0.0059796954,1.9478724e-06,4.307023e-10,0.0059905092,9.2249327e-07,2.3977272e-10
0.076869998,0.0058806189,1.6402e-05,1.7099987e-09,0.0059567545,4.5722436e-06,9.1521833e-10,0.0059800023,1.953316e-06,5.2190213e-10,0.0059908567,9.2438519e-07,2.9083619e-10
0.092843997,0.0058805475,1.6491729e-05,2.0632556e-09,0.0059570335,4.5896414e-06,1.1039806e-09,0.005980379,1.9590633e-06,6.2914544e-10,0.0059912776,9.2630323e-07,3.5025106e-10
0.1120128,0.0058805129,1.658956e-05,2.4950234e-09,0.0059573847,4.6085865e-06,1.3371109e-09,0.0059808384,1.9652074e-06,7.6305019e-10,0.0059917862,9.2826093e-07,4.2541015e-10
0.13501535,0.0058805189,1.6697695e-05,3.0095793e-09,0.0059578212,4.6295298e-06,1.6139054e-09,0.0059813964,1.9718903e-06,9.2144754e-10,0.0059923995,9.3029825e-07,5.1401612e-10
0.16261842,0.0058805705,1.6818453e-05,3.6303718e-09,0.0059583588,4.6528299e-06,1.9487811e-09,0.0059820718,1.9791581e-06,1.1134158e-09,0.0059931378,9.3237523e-07,6.215345e-10
0.19574211,0.0058806741,1.6954918e-05,4.374066e-09,0.0059590164,4.6791743e-06,2.3494886e-09,0.0059828873,1.9872647e-06,1.3426506e-09,0.0059940254,9.3459425e-07,7.4944675e-10
