time,p0_ux,p0_uy,p0_uz,p1_ux,p1_uy,p1_uz,p2_ux,p2_uy,p2_uz,p3_ux,p3_uy,p3_uz
0,0,0,0,0,0,0,0,0,0,0,0,0
6e-07,294.58569,0.71157553,7.1721335e-05,297.95303,0.20456605,5.3121178e-05,298.99575,0.088202376,3.0956713e-05,299.48471,0.041999313,1.6236111e-05
1.32e-06,294.43363,0.73532572,-6.9242941e-06,297.90106,0.21041245,-4.9063936e-06,298.97141,0.09064727,-3.9623339e-06,299.47272,0.043154222,-3.1981146e-06
2.184e-06,294.32339,0.75285971,-3.0220078e-06,297.86295,0.21453523,-1.7108481e-06,298.95322,0.092320334,-9.0822907e-07,299.46351,0.043930224,-3.4042303e-07
3.2208e-06,294.23376,0.76753589,-4.7021943e-06,297.83214,0.21790612,-3.1730885e-06,298.93854,0.093676738,-1.9251344e-06,299.45607,0.044555798,-1.0372833e-06
4.46496e-06,294.15445,0.78086671,-6.6447215e-06,297.80499,0.22091178,-4.5401092e-06,298.92561,0.094877843,-2.7743189e-06,299.44953,0.045107928,-1.5170636e-06
5.957952e-06,294.07953,0.79375362,-8.6238833e-06,297.77944,0.22377633,-5.9550654e-06,298.91346,0.096016344,-3.6821491e-06,299.44338,0.045629959,-2.058883e-06
7.7495424e-06,294.00494,0.80683072,-1.0909115e-05,297.75407,0.22665113,-7.5933106e-06,298.90142,0.097153371,-4.7524294e-06,299.43729,0.04615008,-2.7242127e-06
9.8994509e-06,293.92772,0.82058274,-1.3448708e-05,297.72788,0.22964756,-9.3862842e-06,298.88899,0.098333465,-5.9098981e-06,299.43102,0.046688664,-3.4347781e-06
1.2479341e-05,293.84511,0.83546043,-1.6441232e-05,297.6999,0.23286437,-1.1507644e-05,298.87574,0.099594289,-7.2930221e-06,299.42432,0.047261709,-4.2846425e-06
1.5575209e-05,293.75468,0.85188516,-1.898968e-05,297.6693,0.23640308,-1.3221225e-05,298.86125,0.10097977,-8.3583853e-06,299.417,0.047891609,-4.9389525e-06
1.9290251e-05,293.65448,0.87021758,-2.1130289e-05,297.63541,0.24033808,-1.4477258e-05,298.8452,0.10251838,-9.0031742e-06,299.4089,0.048590859,-5.2317905e-06
2.3748301e-05,293.54283,0.8908524,-2.2892709e-05,297.59776,0.2447289,-1.5209025e-05,298.8274,0.10423064,-9.0361597e-06,299.39992,0.049368147,-4.9133229e-06
2.9097962e-05,293.41745,0.91426893,-2.6525457e-05,297.55564,0.24965996,-1.7479106e-05,298.80751,0.10614783,-1.0248815e-05,299.38989,0.050237208,-5.4810159e-06
3.5517554e-05,293.27372,0.94137528,-3.176922e-05,297.50763,0.25529733,-2.0988209e-05,298.78488,0.10833143,-1.2340938e-05,299.37849,0.051225063,-6.6602163e-06
4.3221065e-05,293.1073,0.97308763,-3.7987789e-05,297.4524,0.26179793,-2.5188031e-05,298.7589,0.11083905,-1.4844684e-05,299.36542,0.052356872,-8.0441548e-06
5.2465278e-05,292.91279,1.0106279,-4.5609467e-05,297.38839,0.26935827,-3.0276468e-05,298.72887,0.11374281,-1.7801398e-05,299.35033,0.053665293,-9.6063802e-06
6.3558333e-05,292.68219,1.0557515,-5.4775108e-05,297.3132,0.27826123,-3.6379876e-05,298.69372,0.11714312,-2.1356862e-05,299.3327,0.055192835,-1.1485122e-05
7.687e-05,292.40782,1.1104359,-6.5670618e-05,297.22463,0.28879206,-4.3633845e-05,298.65246,0.12114179,-2.5550715e-05,299.31204,0.056984806,-1.3683161e-05
9.0599477e-05,292.12728,1.1678606,-7.6231844e-05,297.13529,0.29949072,-5.0587179e-05,298.61102,0.12517149,-2.9427519e-05,299.29135,0.058785027,-1.5610159e-05
0.00010435504,291.84796,1.2268329,-8.8852013e-05,297.0475,0.31007511,-5.9452408e-05,298.57047,0.12912281,-3.4786203e-05,299.27113,0.060542764,-1.8571337e-05
0.00011813245,291.56702,1.2881852,-0.00010169466,296.9604,0.32065982,-6.8722622e-05,298.53041,0.1330402,-4.0430641e-05,299.25121,0.062278975,-2.1657654e-05
0.00013192428,291.28458,1.3523827,-0.00011641839,296.87416,0.33123462,-7.9845286e-05,298.49094,0.13691459,-4.748141e-05,299.23162,0.063988073,-2.5660132e-05
0.00014572716,290.99948,1.4199706,-0.00013105154,296.78847,0.3418429,-9.1264207e-05,298.4519,0.14076437,-5.4817359e-05,299.21229,0.065680014,-2.9861745e-05
0.00015953883,290.70908,1.4914981,-0.00014644763,296.7027,0.35256451,-0.00010361333,298.413,0.14461427,-6.290809e-05,299.19308,0.067364349,-3.4589777e-05
0.00017335836,290.41169,1.5666938,-0.00016197199,296.61633,0.36346663,-0.00011625425,298.374,0.14848914,-7.1221426e-05,299.17385,0.06905257,-3.9418109e-05
0.00018718603,290.1059,1.6444928,-0.00017551921,296.52883,0.37461445,-0.000127744,298.33465,0.15241202,-7.8861902e-05,299.15449,0.070755114,-4.3849079e-05
0.00020102278,289.79215,1.7227003,-0.00018771847,296.44006,0.38603509,-0.00013857591,298.2949,0.15639021,-8.619833e-05,299.13497,0.072474815,-4.8144949e-05
0.00021486991,289.47211,1.7986742,-0.00019936772,296.35005,0.39773244,-0.00014934483,298.25475,0.16042353,-9.3666578e-05,299.11529,0.07421148,-5.2622013e-05
0.00022872882,289.14786,1.870075,-0.00021012425,296.25875,0.40972012,-0.00015977802,298.21418,0.16451472,-0.00010100353,299.09544,0.075965964,-5.701438e-05
0.00024260087,288.82176,1.9360098,-0.00022050785,296.166,0.42202749,-0.00017011868,298.17313,0.16867167,-0.00010831959,299.0754,0.077741437,-6.1374929e-05
0.00025648734,288.49686,1.9975264,-0.00023034718,296.07166,0.43468698,-0.00018048562,298.13154,0.17290102,-0.00011587654,299.05513,0.079540095,-6.601255e-05
0.00027038927,288.17557,2.0588717,-0.00023931903,295.97563,0.44774364,-0.00019041734,298.08938,0.17720909,-0.00012316769,299.03462,0.081364103,-7.0429124e-05
0.0002843074,287.86057,2.1281918,-0.00024795678,295.87789,0.46124299,-0.00020055413,298.04664,0.18159757,-0.00013083638,299.01387,0.083213485,-7.5211805e-05
0.00029824234,287.55211,2.2179887,-0.00025625481,295.77832,0.4752722,-0.00021060823,298.00327,0.18607254,-0.00013847773,298.99286,0.08509032,-7.9941932e-05
0.00031219437,287.24864,2.3432321,-0.00026348439,295.67679,0.48994896,-0.00022026975,297.95925,0.19064044,-0.00014602419,298.97158,0.086996832,-8.4664538e-05
